Subject,Number,Description,Credit Hours
HRD,585,"Theory and techniques of evaluation in cognitive, affective, and psychomotor domains at different educational levels and settings; development and analysis of activities and instruments for students and program evaluation, follow-up studies, and interpretation of results for self-evaluation and for administrative decision making.",4 hours.
IB,100,"Introduction to biology for the non-major. In-depth focus on three contemporary problems-maintaining a livable environment, issues of human health, and evolution.",3 hours.
IB,103,"Basic principles of growth and form, physiology, genetics, evolution, and ecology in plant biology. Lecture and laboratory.",4 hours.
IB,104,"Introductory zoological concepts with emphasis on the diversity and comparative anatomy of animals and the fundamentals of physiology, genetics, evolution, and behavior. Lecture and laboratory. The laboratory includes vertebrate dissection.",4 hours.
IB,105,"Introduction to ecological principles in relation to understanding environmental problems; course emphasizes impacts upon ecosystems by human activities such as air and water pollution, usage of pesticides and pest control measures, expansion of agriculture in tropics and arid regions, harvesting the oceans, and development of energy sources.",3 hours.
IB,108,"The origin, diversity, and extinction of dinosaurs will serve as a conceptual framework to explore fundamental principles of biology. We will consider dinosaurs as animals, examining evidence for their physiology and behavior, and how evolution and speciation produced the diversity of dinosaurs. We will relate the influence of Earth's changing environments on dinosaurs to environmental change on human timescales. We will emphasize how scientists collect and evaluate fossil data through an understanding of living organisms.",3 hours.
IB,109,"Fundamentals of insect biology as reflected in human culture; insect physiology, ecology, and behavior discussed in the context of art, literature, movies, medicine, sports, law, and history.",3 hours.
IB,150,"Introduction to physiology, genetics, and evolution of organisms, and their ecology and diversity.",4 hours.
IB,151,"Topics follow lecture topics in IB 150 and include labs in ecology, plant and animal function, and genetics and evolution. Designed for non-majors needing a year of biology with lab. Credit is not given for IB 151 for Integrative Biology or Molecular and Cellular Biology majors. Prerequisite: Credit or concurrent registration in IB 150.",1 hours.
IB,199,Approved for both letter and S/U grading.  May be repeated to a maximum of 5 hours.,0 TO 5 hours.
IB,202,"How animals function in acquiring, processing, and allocating resources in the face of environmental constraints. The inquiry-based laboratory emphasizes testing of hypotheses related to functioning of physiological components of the basic systems of animals. Lecture only, 3 hours; with laboratory, 4 hours. Students must complete the laboratory portion of the course to receive 4 hours of credit. The laboratory includes vertebrate dissection. Prerequisite: IB 150 and MCB 150.",3 or 4 hours.
IB,204,"The fundamentals of inheritance, with an emphasis on eukaryotes. Major topics include transmission genetics, quantitative genetics, cytogenetics, genomics, genetics of development and behavior, and population genetics. Laboratory emphasizes an experimental, inquiry-based approach to modern and classical genetics. Lecture only, 3 hours; with laboratory, 4 hours. Students must complete the laboratory portion of the course to receive 4 hours of credit. Prerequisite: IB 150 and MCB 150.",3 or 4 hours.
IB,270,"The major evolutionary transitions of biomolecules and cells including: energy acquisition and metabolism; information inheritance, system regulation, and genomes; the origin of life and of the prokaryotic cell, eukaryotic cell, and multicellularity. Lecture and laboratory. Credit is not given for both IB 270 and either MCB 250 or MCB 252. Prerequisite: Admission to the IB honors biology option; credit or concurrent registration in organic chemistry.",5 hours.
IB,271,Integrated study of the diversity and structure and function of plants and animals in evolutionary and environmental contexts. Conceptual themes and techniques of molecular and cellular levels of biological organization will be integrated as well. Lecture and laboratory. The laboratory includes vertebrate dissection. Credit is not given for both IB 271 and IB 202. Prerequisite: IB 270; good standing in the honors biology option.,5 hours.
IB,299,Approved for letter and S/U grading. May be repeated in the same term; may be repeated in separate terms to a maximum of 6 hours.,0 TO 5 hours.
IB,302,"Broad introduction to evolutionary biology, including natural selection and microevolution, phylogeny, speciation, molecular evolution, macroevolution and the fossil records. The laboratory emphasizes a survey of biodiversity and processes and patterns of evolution. Prerequisite: IB 204 or consent of instructor.",4 hours.
IB,303,Approved for letter and S/U grading. May be repeated in the same term; may be repeated in separate terms to a maximum of 6 hours.,0 TO 5 hours.
IB,329,"Introductory course emphasizing how patterns of behavior promote survival, change through evolution, and are modified by the environment. Same as ANSC 366, ANTH 342, and PSYC 329.",3 hours.
IB,335,"Introduces the principles and methods of identifying, naming, and classifying flowering plants; provides an introduction to the natural history of flowering plants (pollination biology, dispersal mechanisms, breeding systems) and the use of phylogeny estimation in producing modern classifications; develops skills in using plant identification keys; and includes a survey of 40 of the most important plant families distributed worldwide.",4 hours.
IB,360,"Our health is inseparably tied to our evolutionary history. As a result, evolution is an important underpinning discipline for health professionals. This course first provides an overview of evolutionary processes, molecular evolution, human evolution, life history theory, and evolutionary-developmental biology. Second, it illustrates the application of these principles to our understanding of nutrition and metabolism, reproduction, disease and stress, and behavior. Third, it shows in practical terms how the principles of evolutionary medicine can be applied in medical practice and public health. Same as ANTH 360. Prerequisite: IB 302 or MCB 250 or MCB 244, or consent of instructor.",3 hours.
IB,361,"Exploration of the emergence of infectious diseases and other human health issues from an ecological perspective, including vector-borne diseases, diseases spread from wildlife in terrestrial and aquatic ecosystems, and the role of pathogens and parasites in community and population ecology, food webs, and ecosystem functioning. Attention will be placed on how current and future global change and biodiversity loss will contribute to the increasing prevalence of human emerging diseases. Same as ANTH 361.",3 hours.
IB,362,"Study of the major marine environments on earth, the huge diversity of organisms that live in them, and the ecological and functional reasons why these organisms live where they do. Also examines the impacts of human and their activities upon the sustainability of marine resources. Designed for students with some background in biology and evolution and interest in marine biodiversity, ecology, and conservation.",3 hours.
IB,364,"Highlights advances in understanding the human genome, by utilizing the latest techniques in bioinformatics, i.e. acquiring, analyzing, storing, and displaying the information from the entire genome and protein sequences. The course describes the theory and practices behind modern sequencing techniques and explores the genome with a particular emphasis on the use of extensive online databases and software. Students will analyze one human disorder using bioinformatics software and databases in order to update older published literature about the genomics underpinning the disorder. Prerequisite: IB 204 or consent of instructor.",3 hours.
IB,405,"Study of the evolution of phenotypic traits and genetics of natural populations, stressing empirical observations and experiments. Emphasis on recent theories of genotype/environmental interactions and their relationship to evolutionary processes. Offered in alternate years. 3 undergraduate hours. 3 graduate hours. Prerequisite: IB 204; or consent of instructor.",3 hours.
IB,411,"Focuses on how experts in biology and technological fields find inspiration in nature and use it as a model to make technological innovations and solve societal problems. In the future, our day-to-day living, health, and the environment will benefit from interdisciplinary teams using findings in basic biological research for technological innovation. Topics to be explored include human health, efficient architecture, cooperative control, robotics, swarm logic, and advanced biological materials. 3 undergraduate hours. 3 graduate hours.",3 hours.
IB,420,"General course concerned with plant functions, including water relations, mineral nutrition, metabolism, growth, and reproduction. Same as CPSC 484. 3 undergraduate hours. 3 graduate hours. Prerequisite: IB 103 or IB 150 and MCB 150; CHEM 232; or consent of instructor.",3 hours.
IB,431,"In-depth examination of areas of current interest at the interface of behavior, ecology, and evolution; focuses on communication, foraging, and social behavior. 3 undergraduate hours. 3 graduate hours. Offered in alternate years. Prerequisite: IB 329; or consent of instructor.",3 hours.
IB,432,"Concepts, methods, and problems in the analysis of the relationship between genes and behavior, the complex neurobiological processes that mediate action on behavior, in appropriate ecological and evolutionary contexts. Same as ANTH 432, NEUR 432, and PSYC 432. 3 undergraduate hours. 3 graduate hours. Prerequisite: IB 150 and IB 204; or consent of instructor.",3 hours.
IB,435,"One-third of Americans use health care products derived from natural sources, particularly plants, but also animals, and fungi. This course examines the biological activity of natural products with respect to their ecological functions and their therapeutic uses. Principles of evidence-based medicine will be reviewed and students will evaluate natural remedies through lectures, in-class activities, discussions, and analyses of scientific papers. Overall, students develop skills useful for evaluating alternative remedies and for communicating their conclusions to the general public. 3 undergraduate hours. No graduate credit. Prerequisite: IB 202 or IB 203 or consent of instructor.",3 hours.
IB,451,"Synthesis of conservation biology with an emphasis on the preservation of biological diversity and its evolutionary potential. Laboratory includes an introduction to the use of modern molecular techniques in conservation biology, computer simulation modeling, and field conservation problem solving. Same as CPSC 436 and ENVS 420. 4 undergraduate hours. 4 graduate hours. Offered in alternate years. Prerequisite: IB 203 or consent of instructor.",4 hours.
IB,453,The direct and indirect interactions among species that determine the structure and composition of plant and animal communities. Emphasis will be on the maintenance of species diversity and its consequences at both local and regional scales. Offered in alternate years. Same as NRES 452. 3 undergraduate hours. 3 graduate hours. Prerequisite: IB 203 or consent of instructor.,3 hours.
IB,461,"Structure, function, ecology, behavior, and evolution of the birds of the world; laboratory devoted to anatomy and identification; and field studies devoted to identification and behavior of birds. Independent research project and two optional weekend field trips. Same as NRES 461. 4 undergraduate hours. 4 graduate hours. Prerequisite: IB 203; or consent of instructor.",4 hours.
IB,463,"Classification, anatomy, ecology, behavior, distribution, and evolution of fishes of the world. Emphasis is on morphological, ecological, and behavioral diversification of fishes in a phylogenetic context. Laboratory devoted to anatomy and identification. Same as NRES 463. 4 undergraduate hours. 4 graduate hours. Offered in alternate years. Prerequisite: IB 302; or consent of instructor.",4 hours.
IB,464,"Classification, diversity, structure, function, ecology, behavior and evolution of amphibians and reptiles. Laboratory devoted to anatomy and identification. Offered in alternate years. 4 undergraduate hours. 4 graduate hours. Prerequisite: IB 302; or consent of instructor.",4 hours.
IB,472,The basic concepts and methodologies of measuring plant gene expression and gene product activity and constructing transgenic plants are presented and discussed. Same as CPSC 462. 1 undergraduate hour. 1 graduate hour. Prerequisite: MCB 150 and IB 204; or consent of instructor.,1 hours.
IB,481,"Study of the major groups of arthropods and associated pathogens that affect the health and well-being of humans and other animals. Training will include ecology, evolutionary biology, and epidemiology of vector-borne diseases; taxonomy and identification of vector arthropods; practical skills in molecular and mathematical biology, spatial analysis and field research. Lecture will make use of technology-enhanced classroom for group-based active learning exercises to address critical challenges in vector-borne disease control. 4 undergraduate hours. 4 graduate hours. Offered in alternate years. Prerequisite: IB 361 or IB 401 or consent of instructor.",4 hours.
IB,483,"The general principles of pathology as they apply to insects; includes non-infectious and infectious diseases caused by viruses, bacteria, fungi, protozoa, and nematodes. Studies the epizootiology of naturally occurring insect disease and the use of insect pathogens as microbial control agents. Same as CPSC 475. 3 undergraduate hours. 3 graduate hours. Lecture in alternate years. Prerequisite: IB 150 and MCB 150 or consent of instructor.",3 hours.
IB,485,"Explores toxicological, environmental, public health, occupational and ecological aspects of the use and release of toxic substances in the environment; features case histories of environmental contamination that illustrate ecological, health, and social aspects of pollution; emphasizes biochemical mechanisms and ecosystem consequences. Same as CHLH 461 and ENVS 431. 3 undergraduate hours. 3 graduate hours. Prerequisite: A college chemistry course and a college biology course; or consent of instructor.",3 hours.
IB,496,Experimental and temporary courses. Additional fees may apply. See Class Schedule. 1 to 5 undergraduate hours. 1 to 4 graduate hours. Approved for letter and S/U grading. May be repeated as topics vary. Prerequisite: Consent of instructor.,1 TO 5 hours.
IB,532,"Examines how on-going global change affects sustainability. Explores climate change, global warming, alternative biofuels, future food security, and conservation of biodiversity, and their effects on society. Examines how to make better use of the Earth's natural resources with little to no damage to the ecosystem, while taking into account ever mounting demands for energy resources and climate change. In this course, students also produce teaching materials for their classrooms.",4 hours.
IB,534,"Explores how human health is inseparably tied to our evolutionary history. Principles that apply to human health include evolutionary processes, e.g. natural selections, as well as molecular evolution, human evolution, and evolutionary-developmental biology. Explores how these principles can be applied to understand human nutrition and metabolism, reproduction, disease and stress, and behavior. These principles assist physicians, researchers, and the general public in understanding how natural selection has acted on humans over time and left us vulnerable to disease and injury. In this course, students also produce teaching materials for their classrooms.",4 hours.
IB,536,"Examines fundamental topics for understanding evolution, the unifying principle for all of biology. Evidence for evolution is all around us, and learning how to view life through 'evolutionary tinted' lenses greatly changes our perspective. Emphasizes the creative ways that scientists are gaining insights into how and why life evolved as it is. Provides avenues to use in the classroom to provide scholarly evidence for the basis of evolution to refute non-academic arguments. Students will produce teaching materials for their classrooms. 4 graduate hours. No professional credit. Prerequisite: For graduate students in the Online Masters of Science Teaching Biology program (OMST).",4 hours.
IE,300,"Nature of probabilistic models for observed data; discrete and continuous distribution function models; inferences on universe parameters based on sample values; control charts, acceptance sampling, and measurement theory. Credit is not given for both IE 300 and CEE 202. Prerequisite: MATH 241.",3 hours.
IE,310,"Linear Optimization - Simplex method, duality, and sensitivity analysis, Transportation and Assignment Problems, Network Optimization Models, Dynamic Programming, Nonlinear optimization, and Discrete optimization. Credit is not given for both IE 310 and CEE 201. Prerequisite: Credit or concurrent registration in MATH 415.",3 hours.
IE,330,"Contemporary concepts and methods for quality and productivity design and improvement; philosophies of Deming, Taguchi, and others leading the quality management and engineering movement; Shewhart's methods for statistical process control; process capability analysis; statistical methods for tolerance assessment; process control methods employing attribute data; design of experiments, concepts, and methods. Prerequisite: IE 300.",3 hours.
IE,340,"Introduction to human factors, ergonomics, engineering psychology, history of ergonomics, human-machine relations, displays and controls, human-computer interaction, industrial and aviation systems, physiology of work and anthropometrics, cognitive ergonomics, human reliability, human as manual controller, human-machine systems design, prototyping, professional practice and ethics, laboratory exercises. Same as PSYC 358.  Prerequisite: PSYC 100, PSYC 103, or consent of instructor.",4 hours.
IE,360,"Facility planning, plant layout design, and materials handling analysis; determination of facilities requirements, site selection, materials flow, use of analytical and computerized techniques including simulation, and applications to areas such as manufacturing, warehousing, and office planning. Prerequisite: Credit or concurrent enrollment in IE 310.",3 hours.
IE,361,"Scope of production systems and activities involved in their design, establishment, management, operation, and maintenance; mathematical and computer models for planning and control of facilities, human resources, projects, products, material, and information in production systems. Prerequisite: IE 310.",3 hours.
IE,370,"Introduction to stochastic processes with applications in decision-making under uncertainty. Topics include newsvendor problem, discrete-time Markov chain (including classification of states, stationary distribution, absorbing states), Poisson processes (including time-homogenous, time-nonhomogeneous, thinning Poisson), continuous-time Markov chain (including Markov property, generator matrix, stationary distribution), queuing theory (including M/M/k queue, open Jackson network), and Markov decision processes (including finite-horizon models, infinite-horizon models). Prerequisite: IE 300 and IE 310.",3 hours.
IE,398,Subject offerings of new and developing areas of knowledge in industrial engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary.,1 TO 4 hours.
IE,400,"Concepts and methods of design of experiments for quality design, improvement and control. Simple comparative experiments, including concepts of randomization and blocking, and analysis of variance techniques; factorial and fractional factorial designs; Taguchi's concepts and methods; second-order designs; response surface methodology. Engineering applications and case studies. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: IE 300.",3 OR 4 hours.
IE,410,"Modeling and analysis of stochastic processes. Transient and steady-state behavior of continuous-time Markov chains; renewal processes; models of queuing systems (birth-and-death models, embedded-Markov-chain models, queuing networks); reliability models; inventory models. Familiarity with discrete-time Markov chains, Poisson processes, and birth-and-death processes is assumed. Same as CS 481. 3 undergraduate hours. 4 graduate hours. Prerequisite: IE 310.",3 OR 4 hours.
IE,411,"Practical methods of optimization of large-scale linear systems including extreme point algorithms, duality theory, parametric linear programming, generalized upper bounding technique, price-directive and resource-directive decomposition techniques, Lagrangian duality, Karmarkar's algorithm, applications in engineering systems, and use of state-of-the-art computer codes. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: IE 310 and MATH 415.",3 OR 4 hours.
IE,412,"Operations research techniques applied to problems in manufacturing and distribution. Single and multi-stage lot sizing problems, scheduling and sequencing problems, and performance evaluation of manufacturing systems. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: IE 310.",3 OR 4 hours.
IE,413,"Use of discrete-event simulation in modeling and analysis of complex systems. Data structures and event-list management; verification and validation of simulation models; input modeling, including selection of probability distributions and random variate generation; statistical analysis of output data. Same as CS 482. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 101 and IE 310.",3 or 4 hours.
IE,420,"Introduction to the theory and practice of financial engineering: basics of derivative securities and risk management; Markowitz portfolio theory and capital asset pricing model; interest rate and bonds; forward and futures contracts, hedging using futures contracts; option contracts and arbitrage relationship; binomial model, no-arbitrage pricing, risk-neutral pricing, and American options pricing; Brownian motion, Black-Scholes-Merton model, delta hedging, Greek letters, implied volatility, and volatility smile. 3 undergraduate hours. 4 graduate hours. Prerequisite: IE 300.",3 OR 4 hours.
IE,430,"Total quality systems for planning, developing, and manufacturing world-class products. Economic foundations of total quality. Product value, cost, pricing, environmental quality, activity-based costing, design for assembly, organization structure, lead time, innovation, Taguchi methods, simulation-based significance testing, Strategic Quality Deployment, statistical process control, and conjoint analysis. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: IE 300.",3 OR 4 hours.
IE,431,"Quality Engineering principles and the Six Sigma Define-Measure-Analyze-Improve-Control (DMAIC) process. Application of concepts and methods of statistical process control, designed experiments, and measurement systems analysis to cases of quality and productivity improvement; application of the fundamentals of quality engineering and the Six Sigma to areas of produce development, service enterprise, and manufacturing processes. 3 undergraduate hours. 3 graduate hours. Prerequisite: IE 300.",3 hours.
IE,498,Subject offerings of new and developing areas of knowledge in industrial engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 9 hours.,1 TO 4 hours.
IE,510,"Optimization of nonlinear systems; survey of classical methods and concepts such as the Lagrangian method, the Jacobian method, and Kuhn-Tucker conditions; modern algorithms; numerical methods for digital computers; applications in engineering design; use of state-of-the-art computer codes. Prerequisite: IE 310.",4 hours.
IE,511,"Optimization of linear systems over discrete decision domains. Topics to be covered include Modeling, Polyhedral theory, Integral Polyhedra, Totally Unimodular Matrices, Total Dual Integrality, Computational Complexity, Cutting plane method, Branch and Bound method, and Lagrangian Dual. Structured integer programs involving Matchings, Knapsack, Cuts and Matroids will be studied as applications. 4 graduate hours. No professional credit. Prerequisite: IE 411 or MATH 482.",4 hours.
IE,521,Finite dimensional convex optimization problems; characterization of optimal solutions; iterative algorithms for differentiable and nondifferentiable problems; distributed optimization algorithms; robust problems and solutions; applications of convex optimization models. Prerequisite: ECE 490 or IE 411; MATH 415; MATH 444.,4 hours.
IE,522,"Methods of statistical modeling of signals and systems with an emphasis on finance applications. Review of linear algebra, probability theory, and spectral analysis; Linear Time Invariant (LTI) and ARX models; least-squares, maximum-likelihood, non-parametric, and frequency-domain methods; convergence, consistency and identifiability of linear models; asymptotic distribution of parameter estimates; techniques of model validation; Principle Component Analysis (PCA) for dimension reduction; ARCH and GARCH processes and their related models; implementation, application, and case-studies of recursive identification; Monte Carlo simulation. Credit is not given for both IE 522 and GE 524. Prerequisite: MATH 415.",4 hours.
IE,523,"Visual Basic (VB) types and loops, macros, arrays, and objects; C++ structures, classes, overloading, inheritance, and I/O; C++ standard libraries; financial computing case studies; illustrations of financial engineering topics using VB and illustrations of the same topics for financial markets using .NET. Prerequisite: CS 225.",4 hours.
IE,524,"Basic optimization models, theory and methods for financial engineering including linear, quadratic, nonlinear, dynamic integer, and stochastic programming; applications to portfolio selection, index fund tracking, asset management, arbitrage detection, option pricing and risk management; optimization software for classes of optimization problems. Projects requiring building optimization models based on financial market data and solutions using optimization solvers. Prerequisite: FIN 500 and MATH 415.",4 hours.
IE,525,"Basic theory of stochastic differential equations and numerical techniques for their analysis with applications to financial modeling. Brownian motion, martingales, stochastic integration, Ito’s formula, stochastic differential equations, partial differential equations, simulation methods for derivatives pricing, finite-difference techniques for Black-Scholes equations and options pricing, Monte Carlo methods, variance reduction techniques, and sensitivity calculations. 4 graduate hours. No professional credit. Prerequisite: FIN 500. Restricted to MS: Financial Engineering.",4 hours.
IE,526,Stochastic calculus approach to the pricing and risk management of derivative securities; no arbitrage pricing; Brownian motion; stochastic calculus; the Black-Scholes-Merton mode; risk neutral valuation; Feynman-Kac theorem; transform methods; exotic derivatives; change of numeraire; term structure interest rate mode; stochastic volatility and jump models. Prerequisite: IE 525.,4 hours.
IE,531,"This course will introduce the student to a set of algorithms for data analytics which include: hashing, indexes, caching; algorithms for structured datasets; streaming data modes; PageRank algorithms for market-basket models; clustering algorithms; and case studies. 4 graduate hours. No professional credit. Prerequisite: IE 411, CS 225. ISE graduate students and students enrolled in the Master of Science in Advanced Analytics (MCAA) are eligible to take the course.",4 hours.
IE,534,"Basic theory of stochastic differential equations and numerical techniques for their analysis with applications to financial modeling. Brownian motion, martingales, stochastic integration, Ito’s formula, stochastic differential equations, partial differential equations, simulation methods for derivatives pricing, finite-difference techniques for Black-Scholes equations and options pricing, Monte Carlo methods, variance reduction techniques, and sensitivity calculations. 4 graduate hours. No professional credit. Prerequisite: FIN 500. Restricted to MS: Financial Engineering.",4 hours.
IE,598,Subject offerings of new and developing areas of knowledge in industrial engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Approved for letter and S/U grading. May be repeated in the same or separate terms if topics vary.,0 TO 4 hours.
IHLT,101,"Introduction to the interdisciplinary major in Health. The course is designed to familiarize students with the concepts of interdisciplinary health, campus resources, academic policies, and program requirements.",1 hours.
IHLT,102,"Introduction to topics in interdisciplinary health with particular emphasis on the five dimensions of health: physical, emotional, social, intellectual and spiritual. Students will explore their personal health beliefs and patterns and discuss the benefits of studying health within an interdisciplinary curriculum.",1 hours.
IHLT,230,"Introduction to topics in interdisciplinary health with particular emphasis on the five dimensions of health: physical, emotional, social, intellectual and spiritual. Students will explore their personal health beliefs and patterns and discuss the benefits of studying health within an interdisciplinary curriculum.",1 hours.
IHLT,232,"Provides an overview of health disparities in the United States, including existence and magnitude of health disparities, theories that explain health disparities, strategies to address their complexity, and solution required to eliminate them. Disparities are examined related to groups of diverse racial/ethnic backgrounds, socio-economic status, gender, age, and ability level.",3 hours.
IHLT,240,"Provides an understanding of the policies that affect service delivery to older adults including key historical and current policies such as the Older Americans Act, Medicare, Medicaid, and Social Security. Theories of public policy and involvement of older adults in the political process will be introduced. Challenges of issues such as chronic disease prevention, housing, transportation, nutrition, and elder abuse will also be explored.",3 hours.
IHLT,375,"Provides scholarly knowledge and field experiences for interdisciplinary collaboration in the health services. Topic include health service delivery systems, vulnerable populations, models of health and health promotion, communication, policy and ethics in health care. Emphasis on introducing students to the importance of working with individuals from a variety of health disciplines to best address issues of health in society.",4 hours.
IHLT,474,This is an independent study course that expands student's knowledge of health professions and prepares them for field work in an applied setting with a variety of health professionals. 1 undergraduate hour. 1 graduate hour.,1 hours.
IHLT,475,This is an independent study course that expands student's knowledge of health professions and prepares them for field work in an applied setting with a variety of health professionals. 1 undergraduate hour. 1 graduate hour.,1 hours.
INFO,102,"Broad introduction to the nature, capabilities, and limitations of computing. Topics range from the way data is represented and stored, to the way today's computers work, to the general ideas of algorithms and computational efficiency, to the future of computing. Covers ""Great Ideas"" across various areas of the field, including, for example, cryptography and internet security, problem solving, modeling and simulation, and artificial intelligence. Same as CS 102.",4 hours.
INFO,202,"Explores the way in which information technologies have and are transforming society and how these affect a range of social, political and economic issues from the individual to societal levels. Same as IS 202 and MACS 202. Prerequisite: Sophomore standing.",3 hours.
INFO,390,Explores a variety of informatics topics. Topics and prerequisites vary by section; see current Class Schedule for details. May be repeated up to 6 hours if topics vary.,1 TO 3 hours.
INFO,403,"The emphasis of this course is on developing an understanding of top down video game design using the various design methodologies and tools introduced in class. Students will form small groups (4-6) and work on their own design within a selected genre (to be determined at the beginning of the semester). Areas of focus include high level design vision, audience evaluation, User Interface and its impact on the design, iteration of a series of design documents (high, medium and low level) and the team dynamics of communication, critique and integration. The goal of the class is to have the small teams use the concepts and the tools taught in class to create a complete design document that will be cataloged for later use. 3 undergraduate hours. 3 graduate hours.",3 hours.
INFO,490,"The emphasis of this course is on developing an understanding of top down video game design using the various design methodologies and tools introduced in class. Students will form small groups (4-6) and work on their own design within a selected genre (to be determined at the beginning of the semester). Areas of focus include high level design vision, audience evaluation, User Interface and its impact on the design, iteration of a series of design documents (high, medium and low level) and the team dynamics of communication, critique and integration. The goal of the class is to have the small teams use the concepts and the tools taught in class to create a complete design document that will be cataloged for later use. 3 undergraduate hours. 3 graduate hours.",3 hours.
IS,100,"This course introduces students to the School of Information Sciences (iSchool). Students will explore career and professional development within information sciences, building their leadership and collaborative skills, and building a network within and beyond the iSchool. Through a human centered design project focused on an information science problem, students will gain experience and a better understanding of the process to develop an innovative solution addressing a societal need. Prerequisite: Restricted to Majors Only; First Semester Freshman, Intercollegiate and Off-Campus Transfer Students Only.",1 hours.
IS,101,"This course provides an introduction to the field of information science and the major. It offers both historical and contemporary context for understanding the role of information in society. Focus is placed upon critical analysis of information problems as well as understanding the creation, use, and distribution of information in business, policy, education, government, health, and other sectors.",3 hours.
IS,202,"Explores the way in which information technologies have and are transforming society and how these affect a range of social, political and economic issues from the individual to societal levels. Same as INFO 202 and MACS 202.",3 hours.
IS,205,Covers common data processing methods and computing concepts used in the information sciences. Evaluates strengths and weaknesses of the techniques in the context of our discipline. No prior programming background is assumed. Course will use the Python programming language. Prerequisite: IS 203.,3 hours.
IS,206,"Introduction to database technology concepts and architecture. Explore data types and reading/writing database layout descriptions. Discussion of database ethics and privacy concerns. Comparison of different database systems a user might encounter including RDBMS, XML/RDF/JSON, NOSQL, and Graph database systems. Labs involving common database tools and exercises in SQL. Prerequisite: IS 205, or CS 101, or CS 105, or CS 125, or ECE 120, or permission of instructor.",3 hours.
IS,226,"This course introduces students to fundamental theories and techniques in Human-Computer Interaction (HCI). This course presents basic tools and methods for creating, designing, prototyping, and evaluating user interfaces to computing applications and web sites. Students will explore course content by conducting individual and group hands-on projects. Assignments involving prototyping can be implemented by self-selected solutions, e.g. Axure, JavaScript. Students from all backgrounds are welcomed.",3 hours.
IS,308,"In this course we will critically examine the ways in which information and communication technologies (ICTs) are shaped by – and help to shape – social relations of race and gender; and we will extend our review to other categories of identity and exclusion as well, such as age, ability, geography and ethnicity. We will also explore the various benefits and burdens of the information society and how these are socially distributed, and conduct case-studies of policies, practices, and programs designed to enhance opportunities and/or mitigate disadvantages through the creative or disruptive use of ICTs. Directed and supervised investigation of selected topics in information studies that may include among others computers and culture; information policy; community information systems; production, retrieval and evaluation of scientific or social science knowledge; computer-mediated communication; and computer-supported cooperative work. Prerequisite: IS 202 Highly recommended. Sophomore standing.",3 hours.
IS,309,"This course explores cultural ideas about computers, including hopes and fears about the effects of computers on our lives. We will analyze images of computers in fiction and movies. The course will also discuss hackers, online subcultures, and other computer-related subcultures, and the integration of computers into various cultural practices. The course will also explore the different uses of digital media. Prerequisite: IS 202 Highly recommended.",3 hours.
IS,334,"From passwords to email encryption to privacy settings on social media services, it is widely recognized that human factors, usability or user experience play a crucial role in effective privacy and security solutions. Designers of privacy and security solutions need to understand how people might use, interact or appropriate the mechanisms they develop. This course introduces various aspects of user experience (e.g., usability problems, user interface designs, conflicting needs) related to privacy and security systems. It is also designed to provide students with knowledge and opportunities to analyze and evaluate user experience of privacy and security systems. This course is suitable for students who are interested in privacy and security, or user experience, or both!",4 hours.
IS,403,"Evaluation, selection and use of books and other resources for children (ages 0-14) in public libraries and school media centers; explores standard selection criteria for print and nonprint materials in all formats and develops the ability to evaluate and promote materials according to their various uses (personal and curricular) and according to children's various needs (intellectual, emotional, social and physical). 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",2 TO 4 hours.
IS,404,"Evaluation, selection and use of books and other resources for young adults (ages 12-18) in public libraries and school media centers; explores standard selection criteria for print and nonprint materials in all formats and develops the ability to evaluate and promote materials according to their various uses (personal and curricular) and according to young adults' various needs (intellectual, emotional, social and physical). 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",2 TO 4 hours.
IS,407,"This course introduces students to data science approaches that have emerged from recent advances in programming and computing technology. They will learn to collect and use data from a variety of sources, including the web, in a modern statistical inference and visualization paradigm. The course will be based in the programming language R, but will also use HTML, regular expressions, basic unix tools, XML, and SQL. Supervised and unsupervised statistical learning techniques made possible by recent advances in computing power will also be covered. 4 undergraduate hours. 4 graduate hours.",4 hours.
IS,409,"Fundamental principles of the art of storytelling including techniques of adaptation and presentation; content and sources of materials; methods of learning; practice in storytelling; planning the story hour for school and public libraries and other public information settings; and audio, video, and digital media. 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",2 TO 4 hours.
